Symbol	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
IGLV8-61	0.363524433	0.09979477	0.102400164	0.424006975	0.362191654	0.459731739
IGLV7-46;IGLV7-43	0.443739119	0.257995714	0.379119652	0.423266137	0.356941771	0.409705661
IGLV2-18	0.209840511	0.15261304	0.154680721	0.127752988	0.124644096	0.164724511
IGLV3-9	0.281961533	0.130022966	0.06265178	0.06776565	0.078386677	0.043196575
IGKV2-28;IGKV2D-28	0.193381758	0.073217457	0.064021761	0.09958975	0.060901159	0.219699353
IGKV2D-24;IGKV2-24	0.110970396	0.094255555	0.039835989	0.138562433	0.164107081	0.155320657
IGKV2D-29	1.940724492	1.842945156	2.039189943	1.657908135	1.195994095	1.424645255
IGKV1-27	0.053120879	0.055582642	0.05148748	0.084221066	0.042945798	0.168900728
IGLV5-45	0.108737278	0.07497999	0.084393599	0.128265253	0.108316896	0.134750037
IGKV3D-11;IGKV3-11	0.976800203	1.068403883	1.227647177	0.955099242	0.811555051	0.959819469
IGHV3-49	0.113675537	0.093261351	0.083802125	0.077247224	0.080210694	0.074371113
IGKV6D-21;IGKV6D-41	0.014912017	0.012971379	0.011870303	0.017162113	0.01720946	0.008413142
IGHV6-1	0.394357077	0.471883016	0.448471775	0.359863921	0.331532627	0.373963885
IGHV3-15	0.31208161	0.343804555	0.385918435	0.344201761	0.274062695	0.324563525
IGHV2-26	1.00E-02	0.019763518	2.72E-06	0.025708663	2.72E-06	2.72E-06
IGHV3-74	0.476983356	0.695080122	0.473875184	0.421170567	0.358291977	0.446634613
IGKV3D-20	0.320807348	0.349623179	0.403878991	0.193658409	0.207063116	0.198559167
IGHV1-3	1.00E-02	0.004516567	0.005094453	0.031049699	0.01462966	2.72E-06
IGHV1-18	0.025648814	0.009524036	0.023363011	0.058434825	0.031832884	0.031455832
IGHV4-28	51.21899633	0.287418171	0.308008565	6.468441182	0.98165339	1.653388066
IGHV5-51	0.041398734	0.027796763	0.024423367	0.043959008	0.039670899	0.036326704
IGHV2-70D	1.00E-02	0.01642974	0.025052487	0.007896171	0.009782335	0.043265128
IGKV1-8;IGKV1-9	0.034982848	0.0430883	0.030509729	0.035890189	0.023620081	2.72E-06
C3orf85	0.060537513	0.03905238	0.034596058	0.009030532	0.023397778	0.024781301
IGKV2-29	0.099348626	0.055453577	0.058316232	0.056795593	0.046960849	0.059274251
PGP	0.052401104	0.021397162	0.019865456	0.03011336	0.020346124	0.023861847
NCF1B;NCF1	0.06925443	0.054836704	0.051063541	0.054967763	0.053636061	0.057703579
TMEM212	1.944997239	1.639957151	2.45869041	1.567309679	1.962409562	2.505454199
A2ML1	0.0418658	0.017029714	0.009024211	0.000807947	0.00227973	0.001158925
HMGB1P1;HMGB1	0.225110141	0.20118357	0.206948785	0.192160848	0.150877672	0.163817804
IGLL5	1.71842606	1.403725892	1.642925095	1.776756813	1.576533557	1.423436226
ZNF878	1.00E-02	0.073944025	0.305510284	2.72E-06	0.0134992	0.467724136
NACA	0.069223634	0.045417373	0.052454827	0.027447094	0.026429043	0.035944388
MASP2	57.20000465	61.38029462	62.50738879	18.6291738	17.460422	19.71668696
LEFTY2	2.675968127	0.823339083	1.884797889	3.391144177	2.757592215	3.300495432
CLIC1	0.089695931	0.032363191	0.098819072	0.027693172	0.022694142	0.02671775
QSOX1	0.276002123	0.25571519	0.265642149	0.538410399	0.442780386	0.489223464
DDX3X;DDX3Y;DDX5;DDX17	0.072021241	0.054867147	0.056931049	0.042136408	0.035616469	0.040781663
CCL21	0.066996582	0.019470268	0.021806785	0.024336636	0.026281079	0.029888703
APOL1	2.676541187	2.130394405	2.140080686	2.388925315	1.750563306	2.061314285
MYL12B;MYL12A	0.337346134	0.385666081	0.386560677	0.064428811	0.07406542	0.090666509
LECT2	4.143679709	0.674263828	0.265787242	3.613880659	3.335464509	3.617002983
ADAMDEC1	0.043371832	0.019583151	0.018103659	0.046298388	0.043282321	0.0389632
VGF	1.00E-02	2.72E-06	2.72E-06	2.72E-06	0.007044992	0.005226308
CHAD	0.281748956	0.253476573	0.252396531	0.37633557	0.338844517	0.379779865
GPR37	0.033031755	0.024142584	0.019554825	0.029902009	0.02065639	0.020027029
KRT86	0.242701067	0.003533722	0.017238493	0.004306557	0.006224633	0.011691834
CD5L	1.755064034	1.562753236	1.841181005	1.812563205	1.42868119	1.686303638
VEGFD	0.035571193	0.005831067	0.045171132	0.061511418	0.034587117	0.048764426
AQR	0.116853945	0.186822219	0.014255559	0.093525825	0.100779275	0.110362904
TPST1	0.031799979	0.016719482	0.009212084	0.022185564	0.017522623	0.016199906
H2BC12;H2BC12L;H2BC5;H2BC10;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13	0.699202638	0.566036179	0.547966785	0.436954527	0.311798814	0.394897361
ZG16	0.034207766	0.021812324	0.029636802	0.120752214	0.130049785	0.144101191
GGCT	0.211564279	0.079670223	0.076295161	0.01969756	0.045591313	0.037460279
CILP	0.028601877	0.011480904	0.009194258	0.024044198	0.020489396	0.048307221
PDCD6	0.659635394	0.589830842	0.582441812	0.185538174	0.156450856	0.161155382
BANF1	0.041564681	0.027470175	0.021144761	0.005397997	0.006339068	0.006241187
FCN3	0.967022952	1.111755744	1.119356755	0.869526035	0.780047933	0.972352273
ATP6AP2	0.0669921	0.024033052	0.058475879	0.02569594	0.020752337	0.028267349
IDH1	0.129157891	0.042739446	0.029614432	0.099643343	0.040459951	0.047767058
KRT33A	1.00E-02	2.72E-06	0.479780251	2.72E-06	2.72E-06	0.23381427
STC2	1.00E-02	0.032779915	0.031068477	0.032140647	0.040744637	0.044677331
ECM2	0.320966605	0.308867223	0.271422413	0.114549884	0.117968297	0.132020454
UBR5	1.00E-02	2.72E-06	0.005310135	0.019504587	0.005783612	0.006403274
PRSS23	0.018726163	0.012374907	0.004218602	0.008553589	0.012631162	0.011082509
APOL3	0.181764926	0.082769053	0.198502476	0.108238206	0.072317962	0.120726107
PAPLN	0.024847001	0.006483605	0.003124759	0.010297106	0.012424177	0.008900994
APOM	0.64826012	0.610558849	0.867852368	0.472674827	0.467898671	0.536659151
CAVIN2	0.080097592	0.022556622	0.035376148	0.038662119	0.026865443	0.035791341
CP	0.221869046	0.191882166	0.207272944	0.260665574	0.218327498	0.20734253
F8	0.042975338	0.028440951	0.023744562	0.121355822	0.097778864	0.104783266
F13A1	0.106736035	0.065049489	0.071504605	0.031680816	0.031093533	0.027612886
PNP	0.075514704	0.007983265	0.013768658	0.016381696	0.020198266	0.013463081
PGK1	0.044714458	0.036645956	0.038188669	0.016729194	0.013580753	0.018920663
LALBA	0.441342636	0.470334323	0.031647325	0.59209057	0.508180763	0.715793051
F2	4.005518545	4.281759017	4.478994848	2.306433004	2.361910596	2.483130926
C1R	2.022525301	2.028282921	2.022306377	1.058111066	0.977433453	1.100324611
HP	0.564917921	0.477507924	0.515234575	0.676755647	0.612260832	0.496650235
HPR	0.521527402	0.537248934	0.54278899	0.487088807	0.457745192	0.512776743
F9	1.084339788	0.98143426	0.795674533	0.720416898	0.587102431	0.604274395
F10	1.94772016	1.828669921	1.907655489	1.828296939	1.596924401	1.744042101
CFD	1.141824154	1.240865445	0.966400036	7.945979271	6.890395197	8.057109714
PLG	1.463496653	1.254264766	1.411697102	3.184565855	2.900465641	3.552026497
F12	0.294002964	0.238182946	0.332691842	0.732895834	0.778717548	0.848690035
PLAT	0.059497561	0.053078993	0.040891775	0.08378167	0.085074702	0.100233681
CFB	0.116335871	0.083530617	0.098421792	0.298526364	0.278657974	0.29253717
SERPINC1	0.119896955	0.088955388	0.12434296	0.162279099	0.138640711	0.184805852
SERPINA1	1.653598327	1.345579757	1.461677002	1.455773447	1.407805562	1.219212094
SERPINA3	0.483573732	0.360045497	0.42937733	0.478194424	0.437112239	0.396618632
AGT	0.510726919	0.433725874	0.534955837	0.544349751	0.375972922	0.427759484
A2M	1.398883818	1.202568626	1.038380448	1.537612599	1.364978601	0.700758741
C3	0.761785222	0.656809432	0.803084156	1.325119132	1.058107047	1.373873566
C5	0.147579675	0.12658906	0.139642698	0.234416459	0.204760892	0.238175034
CST3	0.140144355	0.324700505	0.209264834	0.284996879	0.278689202	0.389942619
CSTA	2.281706231	1.940332431	1.999781585	0.251790823	0.220104681	0.191776745
KNG1	65.6985302	62.59288105	64.84666568	283.6396555	222.8270199	288.0387942
TGFB1	0.152533899	0.029992959	0.11141381	0.096816394	0.256444522	0.333657956
GCG	0.084668071	0.047017203	0.045303402	0.021778245	0.018462345	0.018923562
NPY	0.027581767	0.017228533	0.00637298	0.008215287	0.007723043	0.006357917
IGF2	0.778144116	0.910972456	0.760782946	0.825452557	0.699250496	0.894291234
JCHAIN	3.804533296	3.935321922	4.221363708	5.447468049	3.356816982	4.038646607
IGKV1D-33;IGKV1-33	0.080724551	0.044835159	0.062074372	0.075235047	0.072780255	0.049275654
IGKV1-39;IGKV1D-39	3.063626564	0.094427396	0.299634027	0.361126714	0.127458923	0.509231668
IGKV1-17	0.09917253	0.126924114	0.15654375	0.293090413	0.394325488	0.403402096
IGKV1-5	0.47153663	0.413892012	0.420670517	0.489001677	0.262211444	0.259566651
